cluster,form,data
cluster_0,Во,"во,ADP,None"
cluster_1,время,"время,NOUN,Inan,Acc,Neut,Sing"
cluster_2,битвы,"битва,NOUN,Inan,Gen,Fem,Sing"
cluster_3,между,"между,ADP,None"
cluster_4,силами,"сила,NOUN,Inan,Ins,Fem,Plur"
cluster_5,Магнето,"Магнето,PROPN,Anim,Gen,Masc,Sing"
cluster_6,и,"и,CCONJ,None"
cluster_7,героями,"герой,NOUN,Anim,Ins,Masc,Plur"
cluster_6,",",",,PUNCT,None"
cluster_8,кто,"кто,PRON,Anim,Nom,Masc,Sing"
cluster_9,восстановил,"восстановить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
cluster_10,свои,"свой,DET,Inan,Acc,Plur"
cluster_11,воспоминания,"воспоминание,NOUN,Inan,Nom,Neut,Plur"
cluster_6,",",",,PUNCT,None"
cluster_-1,мутант,"мутант,NOUN,Anim,Nom,Masc,Sing"
cluster_-1,Лайла,"Лайла,PROPN,Anim,Nom,Fem,Sing"
cluster_12,Миллер,"Миллер,PROPN,Anim,Nom,Masc,Sing"
cluster_-1,смогла,"смочь,VERB,Perf,Fem,Ind,Sing,Past,Fin,Act"
cluster_13,восстановить,"восстановить,VERB,Perf,Inf,Act"
cluster_11,воспоминания,"воспоминание,NOUN,Inan,Nom,Neut,Plur"
cluster_5,Магнето,"Магнето,PROPN,Anim,Gen,Masc,Sing"
cluster_14,об,"об,ADP,None"
cluster_15,оригинальной,"оригинальный,ADJ,Loc,Pos,Fem,Sing"
cluster_16,реальности,"реальность,NOUN,Inan,Gen,Fem,Sing"
cluster_6,.,".,PUNCT,None"
cluster_17,Когда,"когда,SCONJ,None"
cluster_18,он,"он,PRON,Nom,Masc,Sing,3"
cluster_19,будет,"быть,AUX,Imp,Ind,Sing,3,Fut,Fin"
cluster_-1,заполнен,"заполнить,VERB,Inan,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
cluster_6,",",",,PUNCT,None"
cluster_6,у,"у,ADP,None"
cluster_-1,драконов,"дракон,NOUN,Anim,Gen,Masc,Plur"
cluster_20,появляется,"появляться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
cluster_21,возможность,"возможность,NOUN,Inan,Nom,Fem,Sing"
cluster_22,перейти,"перейти,VERB,Perf,Inf,Act"
cluster_6,в,"в,ADP,None"
cluster_23,режим,"режим,NOUN,Inan,Acc,Masc,Sing"
cluster_-1,ярости,"ярость,NOUN,Inan,Gen,Fem,Sing"
cluster_6,",",",,PUNCT,None"
cluster_24,силе,"сила,NOUN,Inan,Dat,Fem,Sing"
cluster_25,которого,"который,PRON,Inan,Acc,Neut,Sing"
cluster_26,не,"не,PART,Neg"
cluster_27,способен,"способный,ADJ,Pos,Masc,Sing,Short"
cluster_-1,сопротивляться,"сопротивляться,VERB,Imp,Inf,Mid"
