form,data
Во,"во,ADP,None"
время,"время,NOUN,Inan,Acc,Neut,Sing"
битвы,"битва,NOUN,Inan,Gen,Fem,Sing"
между,"между,ADP,None"
силами,"сила,NOUN,Inan,Ins,Fem,Plur"
Магнето,"Магнето,PROPN,Anim,Gen,Masc,Sing"
и,"и,CCONJ,None"
героями,"герой,NOUN,Anim,Ins,Masc,Plur"
",",",,PUNCT,None"
кто,"кто,PRON,Anim,Nom,Masc,Sing"
восстановил,"восстановить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
свои,"свой,DET,Inan,Acc,Plur"
воспоминания,"воспоминание,NOUN,Inan,Acc,Neut,Plur"
",",",,PUNCT,None"
мутант,"мутант,NOUN,Anim,Nom,Masc,Sing"
Лайла,"Лайла,PROPN,Anim,Nom,Fem,Sing"
Миллер,"Миллер,PROPN,Anim,Nom,Fem,Sing"
смогла,"смочь,VERB,Perf,Fem,Ind,Sing,Past,Fin,Act"
восстановить,"восстановить,VERB,Perf,Inf,Act"
воспоминания,"воспоминание,NOUN,Inan,Acc,Neut,Plur"
Магнето,"Магнето,PROPN,Anim,Gen,Masc,Sing"
об,"об,ADP,None"
оригинальной,"оригинальный,ADJ,Loc,Pos,Fem,Sing"
реальности,"реальность,NOUN,Inan,Loc,Fem,Sing"
.,".,PUNCT,None"
Когда,"когда,SCONJ,None"
он,"он,PRON,Nom,Masc,Sing,3"
будет,"быть,AUX,Imp,Ind,Sing,3,Fut,Fin"
заполнен,"заполнить,VERB,Inan,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
",",",,PUNCT,None"
у,"у,ADP,None"
драконов,"дракон,NOUN,Anim,Gen,Masc,Plur"
появляется,"появляться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
возможность,"возможность,NOUN,Inan,Nom,Fem,Sing"
перейти,"перейти,VERB,Perf,Inf,Act"
в,"в,ADP,None"
режим,"режим,NOUN,Inan,Acc,Masc,Sing"
ярости,"ярость,NOUN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
силе,"сила,NOUN,Inan,Dat,Fem,Sing"
которого,"который,PRON,Inan,Gen,Masc,Sing"
не,"не,PART,Neg"
способен,"способный,ADJ,Nom,Pos,Masc,Sing,Short"
сопротивляться,"сопротивляться,VERB,Imp,Inf,Mid"
ни,"ни,PART,Neg"
один,"один,NUM,Anim,Nom,Masc,Sing,Card"
противник,"противник,NOUN,Anim,Nom,Masc,Sing"
в,"в,ADP,None"
игре,"игра,NOUN,Inan,Loc,Fem,Sing"
.,".,PUNCT,None"
Главная,"главный,ADJ,Nom,Pos,Fem,Sing"
пара,"пара,NOUN,Inan,Nom,Fem,Sing"
используется,"использоваться,VERB,Imp,Ind,Sing,3,Pres,Fin,Mid"
весь,"весь,DET,Inan,Acc,Masc,Sing"
сезон,"сезон,NOUN,Inan,Acc,Masc,Sing"
и,"и,CCONJ,None"
имеет,"иметь,VERB,Imp,Ind,Sing,3,Pres,Fin,Act"
значения,"значение,NOUN,Inan,Gen,Neut,Sing"
1,"1,NUM,Inan,Nom,Masc,Sing,Card"
:,":,PUNCT,None"
27454,"27454,NUM,Inan,Nom,Card"
",",",,PUNCT,None"
1,"1,NUM,Inan,Nom,Masc,Sing,Card"
:,":,PUNCT,None"
41762,"41762,NUM,Inan,Nom,Masc,Card"
",",",,PUNCT,None"
1,"1,NUM,Inan,Nom,Masc,Sing,Card"
:,":,PUNCT,None"
45717,"45717,NUM,Nom,Card"
и,"и,CCONJ,None"
1,"1,NUM,Inan,Nom,Masc,Sing,Card"
:,":,PUNCT,None"
42064,"42064,NUM,Inan,Nom,Card"
.,".,PUNCT,None"
Этим,"этот,DET,Ins,Neut,Sing"
же,"же,PART,None"
постановлением,"постановление,NOUN,Inan,Ins,Neut,Sing"
устанавливалась,"устанавливаться,VERB,Imp,Fem,Ind,Sing,Past,Fin,Mid"
окружная,"окружной,ADJ,Nom,Pos,Fem,Sing"
и,"и,CCONJ,None"
районная,"районный,ADJ,Nom,Pos,Fem,Sing"
система,"система,NOUN,Inan,Nom,Fem,Sing"
деления,"деление,NOUN,Inan,Gen,Neut,Sing"
края,"край,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
Позже,"позже,ADV,Cmp"
вышел,"выйти,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
имеющий,"иметь,VERB,Inan,Imp,Nom,Masc,Sing,Pres,Part,Act"
силу,"сила,NOUN,Inan,Acc,Fem,Sing"
Закона,"закон,NOUN,Inan,Gen,Masc,Sing"
Указ,"указ,NOUN,Inan,Nom,Masc,Sing"
Президента,"президент,NOUN,Anim,Gen,Masc,Sing"
Республики,"республика,NOUN,Inan,Gen,Fem,Sing"
Казахстан,"Казахстан,PROPN,Inan,Nom,Masc,Sing"
от,"от,ADP,None"
15,"15,ADJ,Gen,Pos,Neut,Sing"
сентября,"сентябрь,NOUN,Inan,Gen,Masc,Sing"
1995,"1995,ADJ,Gen,Pos,Masc,Sing"
г,"г,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
Но,"но,CCONJ,None"
в,"в,ADP,None"
1920,"1920,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
он,"он,PRON,Nom,Masc,Sing,3"
переехал,"переехать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
во,"во,ADP,None"
дворец,"дворец,NOUN,Inan,Acc,Masc,Sing"
Дорн,"Дорн,PROPN,Inan,Acc,Masc,Sing"
",",",,PUNCT,None"
где,"где,ADV,None"
прожил,"прожить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
до,"до,ADP,None"
своей,"свой,DET,Gen,Fem,Sing"
смерти,"смерть,NOUN,Inan,Gen,Fem,Sing"
в,"в,ADP,None"
1941,"1941,ADJ,Loc,Pos,Masc,Sing"
году,"год,NOUN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
Придаток,"придаток,NOUN,Inan,Nom,Masc,Sing"
в,"в,ADP,None"
мужском,"мужской,ADJ,Loc,Pos,Masc,Sing"
початке,"початок,NOUN,Inan,Loc,Masc,Sing"
",",",,PUNCT,None"
сидячий,"сидячий,ADJ,Nom,Pos,Masc,Sing"
",",",,PUNCT,None"
загнутый,"загнутый,ADJ,Nom,Pos,Masc,Sing"
или,"или,CCONJ,None"
закрученный,"закрученный,ADJ,Nom,Pos,Masc,Sing"
",",",,PUNCT,None"
бледно-зелёный,"бледно-зеленый,ADJ,Nom,Pos,Masc,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
основании,"основание,NOUN,Inan,Loc,Neut,Sing"
узкоцилиндрический,"узкоцилиндрический,ADJ,Nom,Pos,Masc,Sing"
",",",,PUNCT,None"
на,"на,ADP,None"
вершине,"вершина,NOUN,Inan,Loc,Fem,Sing"
нитевидный,"нитевидный,ADJ,Nom,Pos,Masc,Sing"
",",",,PUNCT,None"
до,"до,ADP,None"
20,"20,NUM,Gen,Card"
см,"см,NOUN,Inan,Gen,Masc,Plur"
длиной,"длина,NOUN,Inan,Ins,Fem,Sing"
",",",,PUNCT,None"
голый,"голый,ADJ,Nom,Pos,Masc,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
основании,"основание,NOUN,Inan,Loc,Neut,Sing"
около,"около,ADP,None"
3,"3,NUM,Inan,Gen,Card"
мм,"миллиметр,NOUN,Inan,Gen,Masc,Plur"
в,"в,ADP,None"
диаметре,"диаметр,NOUN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
Закончил,"закончить,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
Харьковский,"харьковский,ADJ,Inan,Acc,Pos,Masc,Sing"
",",",,PUNCT,None"
а,"а,CCONJ,None"
затем,"затем,ADV,Pos"
и,"и,PART,None"
Петроградский,"петроградский,ADJ,Inan,Acc,Pos,Masc,Sing"
университет,"университет,NOUN,Inan,Acc,Masc,Sing"
.,".,PUNCT,None"
С,"с,ADP,None"
самого,"самый,ADJ,Gen,Pos,Neut,Sing"
детства,"детство,NOUN,Inan,Gen,Neut,Sing"
Сергей,"Сергей,PROPN,Anim,Nom,Masc,Sing"
отличался,"отличаться,VERB,Imp,Masc,Ind,Sing,Past,Fin,Mid"
разносторонностью,"разносторонность,NOUN,Inan,Ins,Fem,Sing"
интересов,"интерес,NOUN,Inan,Gen,Masc,Plur"
и,"и,CCONJ,None"
желанием,"желание,NOUN,Inan,Ins,Neut,Sing"
познавать,"познавать,VERB,Imp,Inf,Act"
и,"и,CCONJ,None"
учиться,"учиться,VERB,Imp,Inf,Mid"
.,".,PUNCT,None"
Осада,"осада,NOUN,Inan,Nom,Fem,Sing"
была,"быть,AUX,Imp,Fem,Ind,Sing,Past,Fin"
снята,"снять,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
",",",,PUNCT,None"
и,"и,CCONJ,None"
",",",,PUNCT,None"
преследуя,"преследовать,VERB,Imp,Pres,Conv,Act"
разбежавшегося,"разбежаться,VERB,Anim,Perf,Acc,Masc,Sing,Past,Part,Act"
неприятеля,"неприятель,NOUN,Anim,Acc,Masc,Sing"
",",",,PUNCT,None"
Бебутов,"Бебутов,PROPN,Anim,Nom,Masc,Sing"
успел,"успеть,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
захватить,"захватить,VERB,Perf,Inf,Act"
два,"два,NUM,Inan,Acc,Neut,Card"
орудия,"орудие,NOUN,Inan,Gen,Neut,Sing"
и,"и,CCONJ,None"
два,"два,NUM,Inan,Acc,Neut,Card"
знамени,"знамя,NOUN,Inan,Gen,Neut,Sing"
",",",,PUNCT,None"
затем,"затем,ADV,Pos"
",",",,PUNCT,None"
отрядив,"отрядить,VERB,Perf,Past,Conv,Act"
",",",,PUNCT,None"
против,"против,ADP,None"
Ахмет,"Ахмет,PROPN,Anim,Gen,Masc,Sing"
-,"-,PUNCT,None"
бека,"Бек,PROPN,Anim,Gen,Masc,Sing"
генерала,"генерал,NOUN,Anim,Acc,Masc,Sing"
Бурцева,"Бурцев,PROPN,Anim,Acc,Masc,Sing"
",",",,PUNCT,None"
нанес,"нанести,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
неприятелю,"неприятель,NOUN,Anim,Dat,Masc,Sing"
30,"30,ADJ,Gen,Pos,Neut,Sing"
апреля,"апрель,NOUN,Inan,Gen,Masc,Sing"
полное,"полный,ADJ,Acc,Pos,Neut,Sing"
поражение,"поражение,NOUN,Inan,Acc,Neut,Sing"
при,"при,ADP,None"
Цурцкабе,"Цурцкаб,PROPN,Inan,Loc,Masc,Sing"
.,".,PUNCT,None"
В,"в,ADP,None"
ходе,"ход,NOUN,Inan,Loc,Masc,Sing"
этого,"этот,DET,Gen,Neut,Sing"
обширного,"обширный,ADJ,Gen,Pos,Neut,Sing"
наступления,"наступление,NOUN,Inan,Gen,Neut,Sing"
была,"быть,AUX,Imp,Fem,Ind,Sing,Past,Fin"
освобождена,"освободить,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
территория,"территория,NOUN,Inan,Nom,Fem,Sing"
Белоруссии,"Белоруссия,PROPN,Inan,Gen,Fem,Sing"
",",",,PUNCT,None"
восточной,"восточный,ADJ,Gen,Pos,Fem,Sing"
Польши,"Польша,PROPN,Inan,Gen,Fem,Sing"
и,"и,CCONJ,None"
часть,"часть,NOUN,Inan,Nom,Fem,Sing"
Прибалтики,"Прибалтика,PROPN,Inan,Gen,Fem,Sing"
и,"и,CCONJ,None"
практически,"практически,ADV,Pos"
полностью,"полностью,ADV,Pos"
разгромлена,"разгромить,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
германская,"германский,ADJ,Nom,Pos,Fem,Sing"
группа,"группа,NOUN,Inan,Nom,Fem,Sing"
армий,"армия,NOUN,Inan,Gen,Fem,Plur"
``,"``,PUNCT,None"
Центр,"центр,NOUN,Inan,Nom,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
.,".,PUNCT,None"
Член,"член,NOUN,Anim,Nom,Masc,Sing"
Русского,"русский,ADJ,Gen,Pos,Masc,Sing"
ПЕН,"ПЕН,PROPN,Anim,Gen,Masc,Sing"
-,"-,PUNCT,None"
центра,"центр,NOUN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
Название,"название,NOUN,Inan,Nom,Neut,Sing"
дано,"дать,VERB,Inan,Perf,Nom,Neut,Sing,Past,Short,Part,Pass"
европейцами,"европеец,NOUN,Anim,Ins,Masc,Plur"
ближайшему,"ближайший,ADJ,Dat,Pos,Masc,Sing"
к,"к,ADP,None"
ним,"они,PRON,Dat,Plur,3"
восточному,"восточный,ADJ,Dat,Pos,Masc,Sing"
региону,"регион,NOUN,Inan,Dat,Masc,Sing"
.,".,PUNCT,None"
С,"с,ADP,None"
1986,"1986,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
эсминец,"эсминец,NOUN,Inan,Nom,Masc,Sing"
``,"``,PUNCT,None"
Боевой,"боевой,ADJ,Nom,Pos,Masc,Sing"
&#39;&#39;,"&#39;&#39;,PUNCT,None"
был,"быть,AUX,Imp,Masc,Ind,Sing,Past,Fin"
включён,"включить,VERB,Inan,Perf,Nom,Masc,Sing,Past,Short,Part,Pass"
в,"в,ADP,None"
состав,"состав,NOUN,Inan,Acc,Masc,Sing"
175-ой,"175-ый,ADJ,Gen,Pos,Fem,Sing"
бригады,"бригада,NOUN,Inan,Gen,Fem,Sing"
ракетных,"ракетный,ADJ,Gen,Pos,Plur"
кораблей,"корабль,NOUN,Inan,Gen,Fem,Plur"
10-ой,"10-ый,ADJ,Gen,Pos,Fem,Sing"
опэск,"опэск,NOUN,Inan,Gen,Fem,Sing"
(,"(,PUNCT,None"
оперативной,"оперативный,ADJ,Gen,Pos,Fem,Sing"
эскадры,"эскадра,NOUN,Inan,Gen,Fem,Sing"
),"),PUNCT,None"
Тихоокеанского,"тихоокеанский,ADJ,Gen,Pos,Masc,Sing"
флота,"флот,NOUN,Inan,Gen,Masc,Sing"
ВМФ,"ВМФ,PROPN,Inan,Gen,Masc,Sing"
СССР,"СССР,PROPN,Inan,Gen,Masc,Sing"
.,".,PUNCT,None"
22,"22,ADJ,Gen,Pos,Neut,Sing"
июня,"июнь,NOUN,Inan,Gen,Masc,Sing"
1987,"1987,ADJ,Gen,Pos,Masc,Sing"
года,"год,NOUN,Inan,Gen,Masc,Sing"
корабль,"корабль,NOUN,Inan,Nom,Masc,Sing"
начал,"начать,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
переход,"переход,NOUN,Inan,Acc,Masc,Sing"
на,"на,ADP,None"
Тихоокеанский,"тихоокеанский,ADJ,Inan,Acc,Pos,Masc,Sing"
флот,"флот,NOUN,Inan,Acc,Masc,Sing"
с,"с,ADP,None"
несением,"несение,NOUN,Inan,Ins,Neut,Sing"
боевой,"боевой,ADJ,Gen,Pos,Fem,Sing"
службы,"служба,NOUN,Inan,Gen,Fem,Sing"
в,"в,ADP,None"
Персидском,"персидский,ADJ,Loc,Pos,Masc,Sing"
заливе,"залив,NOUN,Inan,Loc,Masc,Sing"
(,"(,PUNCT,None"
провёл,"провести,VERB,Perf,Masc,Ind,Sing,Past,Fin,Act"
22,"22,NUM,Inan,Acc,Neut,Card"
судна,"судно,NOUN,Inan,Gen,Neut,Sing"
в,"в,ADP,None"
16,"16,NUM,Loc,Card"
конвоях,"конвой,NOUN,Inan,Loc,Masc,Plur"
),"),PUNCT,None"
.,".,PUNCT,None"
Отличился,"отличиться,VERB,Perf,Masc,Ind,Sing,Past,Fin,Mid"
во,"во,ADP,None"
время,"время,NOUN,Inan,Acc,Neut,Sing"
освобождения,"освобождение,NOUN,Inan,Gen,Neut,Sing"
Белорусской,"белорусский,ADJ,Gen,Pos,Fem,Sing"
ССР,"ССР,PROPN,Inan,Gen,Fem,Sing"
.,".,PUNCT,None"
С,"с,ADP,None"
начала,"начало,NOUN,Inan,Gen,Neut,Sing"
Великой,"великий,ADJ,Gen,Pos,Fem,Sing"
Отечественной,"отечественный,ADJ,Gen,Pos,Fem,Sing"
войны,"война,NOUN,Inan,Gen,Fem,Sing"
--,"--,PUNCT,None"
на,"на,ADP,None"
её,"ее,DET,None"
фронтах,"фронт,NOUN,Inan,Loc,Masc,Plur"
.,".,PUNCT,None"
Расположена,"расположить,VERB,Inan,Perf,Nom,Fem,Sing,Past,Short,Part,Pass"
в,"в,ADP,None"
центральной,"центральный,ADJ,Loc,Pos,Fem,Sing"
части,"часть,NOUN,Inan,Loc,Fem,Sing"
области,"область,NOUN,Inan,Gen,Fem,Sing"
в,"в,ADP,None"
5,"5,NUM,Loc,Card"
км,"км,NOUN,Inan,Loc,Masc,Plur"
к,"к,ADP,None"
юго-востоку,"юго-восток,NOUN,Inan,Dat,Masc,Sing"
от,"от,ADP,None"
Ярцева,"Ярцево,PROPN,Inan,Gen,Neut,Sing"
",",",,PUNCT,None"
в,"в,ADP,None"
5,"5,NUM,Loc,Card"
км,"км,NOUN,Inan,Loc,Masc,Plur"
южнее,"южнее,ADP,None"
